appid,name,content,positive_ratio
550,Left 4 Dead 2,"Game: Left 4 Dead 2. Description: Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.. Genres: Action. Steamspy_tags: Zombies, Co-op, FPS. Categories: Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Commentary available",0.9676488334287702
570,Dota 2,"Game: Dota 2. Description: Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.. Genres: Action, Free to Play, Strategy. Steamspy_tags: Free to Play, MOBA, Strategy. Categories: Multi-player, Co-op, Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Valve Anti-Cheat enabled",0.8587102445738107
620,Portal 2,"Game: Portal 2. Description: The &quot;Perpetual Testing Initiative&quot; has been expanded to allow you to design co-op puzzles for you and your friends!. Genres: Action, Adventure. Steamspy_tags: Puzzle, Co-op, First-Person. Categories: Single-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Stats, Includes level editor, Commentary available",0.9865035578933844
630,Alien Swarm,"Game: Alien Swarm. Description: Co-operative multiplayer game and complete code base available for free.. Genres: Action. Steamspy_tags: Free to Play, Co-op, Action. Categories: Single-player, Multi-player, Co-op, Steam Achievements, Captions available, Steam Cloud, Stats, Includes level editor",0.9487919024814976
730,Counter-Strike: Global Offensive,"Game: Counter-Strike: Global Offensive. Description: Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).. Genres: Action, Free to Play. Steamspy_tags: FPS, Multiplayer, Shooter. Categories: Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats",0.8679519627192155
1002,Rag Doll Kung Fu,"Game: Rag Doll Kung Fu. Description: Featuring a wide collection of single and multiplayer games, either online or with multiple mice, Rag Doll Kung Fu provides players with one of the most creative and unique game experiences delivered in years.. Genres: Indie. Steamspy_tags: Indie, Fighting, Multiplayer. Categories: Single-player, Multi-player",0.7017543859649122
1200,Red Orchestra: Ostfront 41-45,"Game: Red Orchestra: Ostfront 41-45. Description: Fight in the theatre of war that changed the world forever. Battle alongside your compatriots on some of the most inhospitable environments of the Eastern Front in Red Orchestra: Ostfront 41-45. Red Orchestra places you in the most realistic WWII first-person multi-player combat to date on the PC, allowing the player to fight through.... Genres: Action. Steamspy_tags: World War II, Action, FPS. Categories: Multi-player, Steam Achievements, Valve Anti-Cheat enabled",0.8750700280112045
1250,Killing Floor,"Game: Killing Floor. Description: 6-player co-op survival horror at its finest! Free updates, free special events and a ridiculous amount of fun!. Genres: Action. Steamspy_tags: FPS, Zombies, Co-op. Categories: Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Valve Anti-Cheat enabled, Stats, Includes level editor",0.9529977465888324
1300,SiN Episodes: Emergence,"Game: SiN Episodes: Emergence. Description: You are John Blade, commander of HardCorps, an elite security force dedicated to protecting the people of Freeport City. Four years have passed since your first battle with Elexis Sinclaire, a beautiful, brilliant, and ruthless scientist who is out to remake humanity according to her own twisted vision.. Genres: Action. Steamspy_tags: Action, FPS, Cyberpunk. Categories: Single-player, Stats",0.8846880907372401
1500,Darwinia,"Game: Darwinia. Description: Combining fast-paced action with strategic battle planning, Darwinia features a novel and intuitive control mechanism, a graphical style ripped from 80's retro classics like Tron and Defender, and a story concerning a tribe of nomadic sprites trapped in a modern 3D world.. Genres: Indie, Strategy. Steamspy_tags: Strategy, Indie, RTS. Categories: Single-player",0.7492063492063492
1510,Uplink,"Game: Uplink. Description: You play an Uplink Agent who makes a living by performing jobs for major corporations. Your tasks involve hacking into rival computer systems, stealing research data, sabotaging other companies, laundering money, erasing evidence, or framing innocent people.. Genres: Indie, Strategy. Steamspy_tags: Hacking, Indie, Strategy. Categories: Single-player",0.9133409350057012
1520,DEFCON,"Game: DEFCON. Description: Inspired by the 1983 cult classic film, Wargames, DEFCON superbly evokes the tension, paranoia and suspicion of the Cold War era, playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare. You play a General hidden deep within an underground bunker.. Genres: Indie, Strategy. Steamspy_tags: Strategy, Indie, Multiplayer. Categories: Single-player, Multi-player",0.8567263640149938
1530,Multiwinia,"Game: Multiwinia. Description: &quot;Long ago a computer scientist called Dr Sepulveda created a beautiful digital world existing entirely within a computer network of his own invention. This world was called Darwinia and it was inhabited by a peaceful, law-abiding digital life-form called the Darwinians.. Genres: Indie. Steamspy_tags: Indie, RTS, Strategy. Categories: Single-player, Multi-player, Steam Achievements",0.8306997742663657
1600,Dangerous Waters,"Game: Dangerous Waters. Description: S.C.S. - Dangerous Waters allows you total control over multiple air, surface, and submarine platforms in a modern-day naval environment. Take direct control of individual crew stations and also plan and execute combined arms naval strategies from a top-down 'Commanders Eye' perspective.. Genres: Strategy. Steamspy_tags: Strategy, Simulation, Naval. Categories: Single-player, Multi-player",0.7608695652173914
1610,Space Empires IV Deluxe,"Game: Space Empires IV Deluxe. Description: The award-winning Space Empires IV Deluxe is the latest edition in the Space Empires series. A grand strategy title in the space 4X (explore, expand, exploit, and exterminate) genre, Space Empires has already found a place in the heart of strategy gamers everywhere.. Genres: Strategy. Steamspy_tags: Strategy, 4X, Sci-fi. Categories: Single-player, Multi-player",0.8115942028985508
1630,Disciples II: Rise of the Elves ,"Game: Disciples II: Rise of the Elves . Description: The award-winning series Disciples introduced a milestone in the game's very successful history; the introduction of a new race: The Elves. The Elven Race added a new dimension to the game and added countless hours of gameplay. Now that series has expanded further with Disciples II: Rise Of The Elves.. Genres: Strategy. Steamspy_tags: Strategy, Turn-Based Strategy, Fantasy. Categories: Single-player, Multi-player, Co-op",0.8067978533094812
1640,Disciples II: Gallean's Return,"Game: Disciples II: Gallean's Return. Description: Disciples II: Gallean's Return is a compilation edition that includes the base game, Disciples II: Dark Prophecy, plus the two standalone expansions Disciples II: Guardians of the Light and Disciples II: Servants of the Dark.. Genres: Strategy. Steamspy_tags: Turn-Based Strategy, Strategy, Classic. Categories: Single-player, Multi-player, Co-op",0.7632398753894081
1670,Iron Warriors: T - 72 Tank Command ,"Game: Iron Warriors: T - 72 Tank Command . Description: The most devastating mechanized armor to ever roll onto a battlefield is brought to life in Iron Warriors: T72-Tank Command. This epic combat simulator allows the player to command an entire platoon of tanks and ALL associated support units, or assume the role of ANY member in a complete tank crew!. Genres: Strategy. Steamspy_tags: Simulation, Strategy, Tanks. Categories: Single-player, Multi-player",0.5732217573221757
1690,Space Empires V,"Game: Space Empires V. Description: Space Empires V is the latest edition in the Space Empires series. This new chapter completely updates the UI and takes the player into a real-time rendered 3D universe. Watch space battles played out in glorious detail and realistic effects. Expand, Explore, Exploit, and Exterminate in a huge living breathing galaxy.. Genres: Strategy. Steamspy_tags: Strategy, 4X, Space. Categories: Single-player, Multi-player",0.6920289855072463
1700,Arx Fatalis,"Game: Arx Fatalis. Description: This critically acclaimed first-person RPG takes the player on an amazing journey into the fantasy world of Arx. The game mixes intelligent story with immersive and actual medieval surroundings. Arx Fatalis allows the player to feel that all his actions have a direct consequence on those around him.. Genres: RPG. Steamspy_tags: RPG, First-Person, Classic. Categories: Single-player",0.8635778635778636
1840,Source Filmmaker,"Game: Source Filmmaker. Description: The Source Filmmaker (SFM) is the movie-making tool built and used by us here at Valve to make movies inside the Source game engine. Because the SFM uses the same assets as the game, anything that exists in the game can be used in the movie, and vice versa.. Genres: Animation & Modeling, Video Production. Steamspy_tags: Animation & Modeling, Video Production, Free to Play. Categories: Steam Workshop",0.9313943435840436
1900,Earth 2160,"Game: Earth 2160. Description: After the destruction of the EARTH in 2150, the leaders of the Eurasian Dynasty escaped on board an evacuation fleet. Now they are fighting for the survival of the human species. Their base is one large building comprising of smaller variable parts.. Genres: Strategy. Steamspy_tags: Strategy, RTS, Sci-fi. Categories: Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Trading Cards",0.6766304347826086
1930,Two Worlds Epic Edition,"Game: Two Worlds Epic Edition. Description: ... 300 years after Aziraal has been banished, a brother and sister are drawn into the conflict which has flared up between the Orcs and the free world. Kyra, the hero's younger sister, suddenly disappears in mysterious circumstances.«...If my family really belongs to the chosen ones, why then have we always been as poor as church mice?. Genres: RPG. Steamspy_tags: RPG, Open World, Fantasy. Categories: Single-player, Multi-player, Online Multi-Player, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Partial Controller Support",0.7157100511991377
2100,Dark Messiah of Might & Magic,"Game: Dark Messiah of Might & Magic. Description: Discover a new breed of Action-RPG game powered by an enhanced version of the Source™ Engine by Valve. Set in the Might &amp; Magic® universe, players will experience ferocious combat in a dark and immersive fantasy environment. Swords, Stealth, Sorcery. Choose your way to kill.. Genres: Action, RPG. Steamspy_tags: RPG, Action, First-Person. Categories: Single-player, Multi-player, Valve Anti-Cheat enabled",0.9327945555082944
2200,Quake III Arena,"Game: Quake III Arena. Description: Welcome to the Arena, where high-ranking warriors are transformed into spineless mush. Abandoning every ounce of common sense and any trace of doubt, you lunge onto a stage of harrowing landscapes and veiled abysses.. Genres: Action. Steamspy_tags: FPS, Action, Classic. Categories: Single-player, Multi-player, Steam Cloud",0.953781512605042
2210,Quake IV,"Game: Quake IV. Description: The latest chapter in the Quake series is now on Steam!. Genres: Action. Steamspy_tags: FPS, Action, Shooter. Categories: Single-player, Multi-player, Steam Cloud",0.8389830508474576
2270,Wolfenstein 3D,"Game: Wolfenstein 3D. Description: Maybe it was the fact that people got to blow away Nazis. Maybe it was the sheer challenge of it all. For whatever reason, Wolfenstein 3D and Spear of Destiny, pioneered the first-person shooter genre and brought its legendary creators, id Software, worldwide notoriety and numerous awards.. Genres: Action. Steamspy_tags: FPS, Classic, Action. Categories: Single-player, Steam Cloud",0.9532258064516128
2280,Ultimate Doom,"Game: Ultimate Doom. Description: The complete megahit game that set the world afire. Plus All-New Episode IV: Thy Flesh Consumed. The demons came and the marines died. Except one. You are the last defense against these hell-spawned hordes. Prepare for the most intense mutant-laden, blood-splattered action ever!. Genres: Action. Steamspy_tags: Classic, FPS, Action. Categories: Single-player, Steam Cloud",0.9351337708228168
2290,Final DOOM,"Game: Final DOOM. Description: Two New, 32-Level DOOM II Episodes. Evilution: Far from earth, the UAC recommenced their experiments on on of the moons of Jupiter. A spaceship, mistaken for a supply vexxel on radar, hovered above the base. Hideous demons poured out, blanketing the base with death. All your comrades were quickly slaughtered or zombified.. Genres: Action. Steamspy_tags: FPS, Action, Classic. Categories: Single-player, Steam Cloud",0.8748091603053435
2300,DOOM II,"Game: DOOM II. Description: Let the Obsession begin. Again. This time, the entire forces of the netherworld have overrun Earth. To save her, you must descend into the stygian depths of Hell itself! Battle mightier, nastier, deadlier demons and monsters. Use more powerful weapons.. Genres: Action. Steamspy_tags: Classic, FPS, Action. Categories: Single-player, Multi-player, Steam Cloud",0.9325676176361616
2310,QUAKE,"Game: QUAKE. Description: Rage through 32 single player levels and 6 deathmatch levels of sheer terror and fully immersive sound and lighting. Arm yourself against the cannibalistic Ogre, fiendish Vore and indestructible Schambler using lethal nails, fierce Thunderbolts and abominable Rocket and Grenade Launchers.. Genres: Action. Steamspy_tags: FPS, Classic, Action. Categories: Single-player, Multi-player, Co-op, Steam Cloud",0.9506172839506172
2320,QUAKE II,"Game: QUAKE II. Description: Shortly after landing on an alien surface, you learn that hundreds of your men have been reduced to just a few. Now you must fight your way through heavily fortified military installations, lower the city's defenses and shut down the enemy's war machine. Only then will the fate of humanity be known.. Genres: Action. Steamspy_tags: FPS, Action, Classic. Categories: Single-player, Multi-player, Co-op, Steam Cloud",0.9275067750677508
2330,QUAKE II Mission Pack: The Reckoning,"Game: QUAKE II Mission Pack: The Reckoning. Description: You are part of an elite commando force that must infiltrate a hostile alien cite. Once inside, you must scour industrial landscapes, crawl through waterways and air ducts, navigate treacherous canyons teeming with vicious mutants, stow away on an alien spacecraft, and destroy the enemy's secret moon base.. Genres: Action. Steamspy_tags: Action, FPS, Classic. Categories: Single-player, Multi-player, Steam Cloud",0.8441558441558441
2340,QUAKE II Mission Pack: Ground Zero,"Game: QUAKE II Mission Pack: Ground Zero. Description: Take out the Big Gun sounded simple enough, except the Strogg were waiting. You, and a few marines like you, are the lucky ones. You've made it down in one piece and are still able to contact the fleet. The Gravity Well, the Strogg's newest weapon in its arsenal against mankind, is operational.. Genres: Action. Steamspy_tags: Action, FPS, Shooter. Categories: Single-player, Multi-player, Steam Cloud",0.6206896551724138
2350,QUAKE III: Team Arena,"Game: QUAKE III: Team Arena. Description: Never before have the forces aligned. United by name and by cause, The Fallen, Pagans, Crusaders, Intruders, and Stroggs must channel their power into an allied operation where teamwork is the only method of mass destruction. Four distinct games test each troop's synthesis and strength to exacting degrees.. Genres: Action. Steamspy_tags: Action, FPS, Competitive. Categories: Single-player, Multi-player, Steam Cloud",0.7769784172661871
2360,HeXen: Beyond Heretic,"Game: HeXen: Beyond Heretic. Description: While you were battling the evil forces of D'Sparil, the other Serpent Riders were busy sowing the seeds of destruction in other dimensions. One such dimension is the decaying world where Hexen takes place. A world littered with the mangled corpses of nonbelievers and inhabited by the undead followers that executed them.. Genres: Action. Steamspy_tags: Action, FPS, Classic. Categories: Single-player, Steam Cloud",0.9054545454545454
2370,HeXen: Deathkings of the Dark Citadel,"Game: HeXen: Deathkings of the Dark Citadel. Description: Where HeXen Ends, the True Nightmare Begins. Deathkings of the Dark Citadel is the only official expansion of the original HeXen game. This add-on pack features 20 new single player levels from the original HeXen team as well as a host of new multiplayer options.. Genres: Action. Steamspy_tags: Action, FPS, Classic. Categories: Single-player, Steam Cloud",0.7402597402597403
2390,Heretic: Shadow of the Serpent Riders,"Game: Heretic: Shadow of the Serpent Riders. Description: In a twisted medieval dimension, undead creatures and bestial horrors have done the unthinkable--callously slaughtering your entire race. Your friends. Your family. Eliminated. But the nightmare has just begun.. Genres: Action. Steamspy_tags: Classic, Action, FPS. Categories: Single-player, Multi-player, Steam Cloud",0.9349775784753364
2400,The Ship: Murder Party,"Game: The Ship: Murder Party. Description: The Ship is a murder mystery multiplayer.. Genres: Action, Indie, RPG. Steamspy_tags: Multiplayer, Indie, Action. Categories: Single-player, Multi-player, Steam Trading Cards, Valve Anti-Cheat enabled",0.8588486900730707
2450,Bloody Good Time,"Game: Bloody Good Time. Description: Congratulations, you’ve just been cast in your first slasher movie by the notorious Director X!. Genres: Action. Steamspy_tags: Action, Multiplayer, FPS. Categories: Single-player, Multi-player, Steam Achievements",0.7644341801385681
2500,Shadowgrounds,"Game: Shadowgrounds. Description: Shadowgrounds breathes fresh air into the action genre with explosive combat sequences, an innovative weapon upgrade system, and an intriguing storyline. The adrenaline-pumping, top-down gameplay and audiovisual fireworks set the scene for this new action experience which also includes single computer (split keyboard or joystick) co-op.... Genres: Action. Steamspy_tags: Action, Sci-fi, Top-Down Shooter. Categories: Single-player, Shared/Split Screen, Steam Trading Cards",0.7968877968877969
2520,Gumboy - Crazy Adventures™,"Game: Gumboy - Crazy Adventures™. Description: Gumboy has fun and novel gameplay set in a richly imagined world. With simple game controls, Gumboy lets the player bounce, roll, float, and fly through the world. Additionally, Gumboy can change size, shape and material.. Genres: Casual, Indie. Steamspy_tags: Casual, Indie, Singleplayer. Categories: Single-player",0.5306122448979592
2590,Alpha Prime,"Game: Alpha Prime. Description: Somewhere in deep space, at an apparently abandoned mining base on the asteriod Alpha Prime, something has gone terribly wrong. Miners were warned that the hubbardium they were mining was too dangerous, but the lure of unimaginable wealth was too strong.. Genres: Action. Steamspy_tags: Action, FPS, Sci-fi. Categories: Single-player",0.5383936451897617
2600,Vampire: The Masquerade - Bloodlines,"Game: Vampire: The Masquerade - Bloodlines. Description: Vampire®: The Masquerade-Bloodlines™ delivers a new type of RPG experience-one that blends all the core elements of a traditional RPG with the graphical richness, immediacy and brutal combat of a first-person action game. The game plunges players into the dark and gritty vampire underworld of modern-day L.A. as a creature of the night.. Genres: Action. Steamspy_tags: RPG, Vampire, Cult Classic. Categories: Single-player",0.9445040625479074
2610,GUN™,"Game: GUN™. Description: When life robs Colton White of all that matters, the only thing left he can trust is his GUN. From award-winning developer, Neversoft, and accomplished screenwriter, Randall Jahnson (The Mask of Zorro, The Doors), GUN follows Colton on his quest for discovery as he seeks to exact vengeful justice on those who have wronged him.. Genres: Action. Steamspy_tags: Western, Action, Open World. Categories: Single-player",0.8948004836759371
2620,Call of Duty®,"Game: Call of Duty®. Description: Call of Duty® delivers the gritty realism and cinematic intensity of World War II's epic battlefield moments like never before - through the eyes of citizen soldiers and unsung heroes from an alliance of countries who together helped shape the course of modern history.. Genres: Action. Steamspy_tags: FPS, World War II, Action. Categories: Single-player, Multi-player",0.930023923444976
2630,Call of Duty® 2,"Game: Call of Duty® 2. Description: Call of Duty® 2 redefines the cinematic intensity and chaos of battle as seen through the eyes of ordinary soldiers fighting together in epic WWII conflicts. The sequel to 2003's Call of Duty, winner of over 80 Game of the Year awards, Call of Duty 2 offers more immense, more intense, more realistic battles than ever before, thanks to.... Genres: Action. Steamspy_tags: Action, World War II, FPS. Categories: Single-player, Multi-player",0.9116104868913858
2640,Call of Duty: United Offensive,"Game: Call of Duty: United Offensive. Description: Award-winning developer Gray Matter Interactive follows up on the success of Infinity Ward's Call of Duty™ - winner of over 80 Game of the Year and 50 Editors' Choice awards worldwide - with Call of Duty™: United Offensive™.. Genres: Action. Steamspy_tags: Action, World War II, FPS. Categories: Single-player, Multi-player",0.8347529812606473
2710,Act of War: Direct Action,"Game: Act of War: Direct Action. Description: Tomorrow's War Is NOW Ripped from today's headlines, Act of War: Direct Action™ is a frightening tale of suspense, international intrigue and geopolitical military conflict. This real-time strategy experience puts you squarely in control of counterterrorist forces and delivers a first look at tomorrow's war.. Genres: Action. Steamspy_tags: Action, Strategy, RTS. Categories: Single-player, Multi-player",0.8450704225352113
2720,ThreadSpace: Hyperbol,"Game: ThreadSpace: Hyperbol. Description: ThreadSpace: Hyperbol is an action-strategy game set in the distant future. Players battle each other on roads in space as they pilot massive ships capable of firing a wide variety of weapons. Create defenses, coordinate with your team, and launch an assault against your opponents to achieve victory!. Genres: Action, Indie, Strategy. Steamspy_tags: Strategy, Action, Indie. Categories: Single-player, Multi-player, Includes level editor",0.775
2780,ARMA: Combat Operations,"Game: ARMA: Combat Operations. Description: Sequel to the highly successful Operation Flashpoint, ARMA: Combat Operations is a first person tactical military shooter on the PC with large elements of realism and simulation. This game features a blend of large-scale military conflict spread across large areas alongside the more close quartered battles.. Genres: Action. Steamspy_tags: Action, Simulation, Shooter. Categories: Single-player, Multi-player, Includes level editor",0.6531531531531531
